Catalogo;Curso;NivelCurso;Disciplina
1969;13;G;TA922
1969;13;G;TA923
1969;13;G;TA924
1969;13;G;TA925
1969;13;G;TA928
1969;13;G;TA934
1969;13;G;TA937
1969;15;G;MD511
1970;1;G;F 101
1970;1;G;F 102
1970;1;G;F 201
1970;1;G;F 202
1970;1;G;F 301
1970;1;G;F 302
1970;1;G;F 311
1970;1;G;F 401
1970;1;G;F 402
1970;1;G;F 411
1970;1;G;M 701
1970;1;G;M 705
1970;1;G;MA101
1970;1;G;MA141
1970;1;G;MA142
1970;1;G;MA201
1970;1;G;MA241
1970;1;G;MA301
1970;1;G;MA325
1970;1;G;MA401
1970;1;G;MA411
1970;1;G;MA501
1970;1;G;MA599
1970;1;G;MA601
1970;1;G;MA602
1970;1;G;MA604
1970;1;G;MA651
1970;1;G;MA699
1970;1;G;MA702
1970;1;G;MA733
1970;1;G;MA751
1970;1;G;MA802
1970;1;G;MA806
1970;1;G;MA807
1970;1;G;MA831
1970;1;G;MA833
1970;1;G;MC111
1970;1;G;ME203
1970;1;G;MS211
1970;1;G;PB101
1970;1;G;PB201
1970;1;G;PB701
1970;1;G;PB801
1970;2;G;M 231
1970;2;G;M 333
1970;2;G;M 412
1970;2;G;M 431
1970;2;G;M 515
1970;2;G;M 533
1970;2;G;MA101
1970;2;G;MA141
1970;2;G;MA201
1970;2;G;MA301
1970;2;G;MA325
1970;2;G;MC111
1970;2;G;MC211
1970;2;G;ME101
1970;2;G;ME121
1970;2;G;ME303
1970;2;G;ME341
1970;2;G;ME412
1970;2;G;ME512
1970;2;G;ME531
1970;2;G;ME541
1970;2;G;ME622
1970;2;G;ME631
1970;2;G;ME641
1970;2;G;ME651
1970;2;G;ME661
1970;2;G;ME711
1970;2;G;ME721
1970;2;G;ME741
1970;2;G;ME771
1970;2;G;ME772
1970;2;G;ME871
1970;2;G;MS211
1970;2;G;MS328
1970;2;G;PB101
1970;2;G;PB201
1970;2;G;PB701
1970;2;G;PB801
1970;3;G;F 101
1970;3;G;F 102
1970;3;G;F 201
1970;3;G;F 202
1970;3;G;M 513
1970;3;G;M 631
1970;3;G;M 816
